accession,correct,genus,strain_name,location,virus_name,isolation_source,host,isolation_date,lab_culture,wastewater_sewage,standardized_host,host_category,standardized_location,zoonotic,processing_method,gemini_annotated,is_segmented,segment_label,manual_update
MN453781.1,TRUE,Megrivirus,Adelie penguin-NIHSAD-INDIA-2018,Antarctica,megrivirus E1,"Adelie penguin feces, Svenner Island 2",non-human,02-Feb-2018,FALSE,FALSE,Pygoscelis adeliae,Avian,Antarctica,FALSE,ai,TRUE,FALSE,,
MT636363.1,TRUE,Rhabdoviridae,ARV1-MS-JUN15,Sweden,Apis rhabdovirus 1,adult Apis mellifera,non-human,15-Jun-2015,FALSE,FALSE,Apis mellifera,Insect,,FALSE,ai,TRUE,FALSE,,
MT636365.1,TRUE,Rhabdoviridae,ARV1-MS-SEP15,Sweden,Apis rhabdovirus 1,adult Apis mellifera,non-human,15-Sep-2015,FALSE,FALSE,Apis mellifera,Insect,Sweden,FALSE,ai,TRUE,FALSE,,
ON955142.1,TRUE,Rhabdoviridae,FIN/PK-2018/62,"Finland: Pohjois-Karjala, Ilomantsi",Hattula rhabdovirus,adult female mosquito,non-human,26-Jun-2015,FALSE,FALSE,Ochlerotatus communis,Insect,"Ilomantsi, Finland",FALSE,ai,TRUE,FALSE,,
ON949931.1,TRUE,Orthoflavivirus,FIN/L-2018/90,"Finland: Lappi, Enontekio",Kilpisjarvi flavivirus,adult femle mosquito,non-human,28-Jul-2015,FALSE,FALSE,Ochlerotatus hexodontus,Insect,"Enontekio, Finland",FALSE,ai,TRUE,FALSE,,
EU182266.1,TRUE,Alphainfluenzavirus,,USA,Influenza A virus (A/Japanese quail/CA/K0401010/2004(H6N2)),allantoic fluid,non-human,2004,FALSE,FALSE,Coturnix japonica,Avian,"CA, USA",TRUE,ai,TRUE,TRUE,5,
EU365368.1,TRUE,Alphainfluenzavirus,A/chicken/Hubei/C1/2007,China,Influenza A virus (A/chicken/Hubei/C1/2007(H9N2)),allantoic fluid,non-human,,FALSE,FALSE,Gallus gallus domesticus,Avian,China,TRUE,ai,TRUE,TRUE,1,
HM756673.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4801/2004,USA: New York,West Nile virus,American crow brain,non-human,2004,FALSE,FALSE,Corvus brachyrhynchos,Avian,"New York, USA",TRUE,ai,TRUE,FALSE,,
MN920672.1,TRUE,Astroviridae,ytb090ast01,China,Astroviridae sp.,anal swab,non-human,2018,FALSE,FALSE,Aves,Avian,"null, China",FALSE,ai,TRUE,FALSE,,
OR915584.1,TRUE,Lambdapapillomavirus,CCX143_CcarPV1,South Africa: Western Cape,Caracal caracal papillomavirus 1,anal swab,non-human,10-Apr-2022,FALSE,FALSE,Caracal caracal,Mammal,"Western Cape, South Africa",FALSE,ai,TRUE,FALSE,,
MT138210.1,TRUE,Aveparvovirus,bfb010ave01,,Aveparvovirus sp.,anal swab,non-human,2018,FALSE,FALSE,Aves,Avian,"Unknown, Unknown",TRUE,ai,TRUE,FALSE,,
OR915590.1,TRUE,Lambdapapillomavirus,CCX166_CcarPV4,South Africa: Western Cape,Caracal caracal papillomavirus 4,anal swab,non-human,02-Jun-2023,FALSE,FALSE,Caracal caracal,Mammal,"Western Cape, South Africa",FALSE,ai,TRUE,FALSE,,
OR915592.1,TRUE,Treisetapapillomavirus,CCX143_CcarPV5,South Africa: Western Cape,Caracal caracal papillomavirus 5,anal swab,non-human,10-Apr-2022,FALSE,FALSE,Caracal caracal,Mammal,"Western Cape, South Africa",FALSE,ai,TRUE,FALSE,,
MN920665.1,TRUE,Astroviridae,stc111ast1,China,Astroviridae sp.,anal swab,non-human,2018,FALSE,FALSE,Aves,Avian,China,TRUE,ai,TRUE,FALSE,,
MN920664.1,TRUE,Astroviridae,sru051ast1,China,Astroviridae sp.,anal swab,non-human,2018,FALSE,FALSE,,Avian,,FALSE,ai,TRUE,FALSE,,
MT138214.1,TRUE,Aveparvovirus,bfb014ave01,,Aveparvovirus sp.,anal swab,non-human,2018,FALSE,FALSE,,Avian,,FALSE,ai,TRUE,FALSE,,
OR915587.1,TRUE,Lambdapapillomavirus,CCX145_CcarPV2,South Africa: Western Cape,Caracal caracal papillomavirus 2,anal swab,non-human,23-Apr-2022,FALSE,FALSE,Caracal caracal,Mammal,South Africa,FALSE,ai,TRUE,FALSE,,
MF409177.1,TRUE,Alphavirus,ArB489,Central African Republic,Sindbis virus,Arthropod specimen,non-human,1985,FALSE,FALSE,Unknown,Other,"Unknown, Central African Republic",TRUE,ai,TRUE,FALSE,,
PP942906.1,TRUE,Lyssavirus,Bat23-1134,United Kingdom,European bat lyssavirus 1,bat brain,non-human,09-Oct-2023,FALSE,FALSE,Eptesicus serotinus,Mammal,"Unknown, United Kingdom",TRUE,ai,TRUE,FALSE,,
PP942913.1,TRUE,Lyssavirus,Bat22-880,United Kingdom,European bat lyssavirus 1,bat brain,non-human,23-Jul-2022,FALSE,FALSE,Eptesicus serotinus,Mammal,"United Kingdom, United Kingdom",TRUE,ai,TRUE,FALSE,,
AB972940.1,TRUE,Alphapolyomavirus,5b-2,"Indonesia: Gorontalo, Paguyaman",Bat polyomavirus 5b,Bat spleen,non-human,2013-03,FALSE,FALSE,Acerodon celebensis,Mammal,"Paguyaman, Indonesia",TRUE,ai,TRUE,FALSE,,
NC_026766.1,TRUE,Polyomaviridae,6d-1,"Indonesia: Gorontalo, Paguyaman",Bat polyomavirus 6d,Bat spleen,non-human,2013-03,FALSE,FALSE,Pteropus sp.,Mammal,"Gorontalo, Indonesia",TRUE,ai,TRUE,FALSE,,
MH170269.1,TRUE,Orthoflavivirus,GA 05-179,"USA: GA, Dekalb County",West Nile virus,bird,non-human,2005,FALSE,FALSE,Cyanocitta cristata,Avian,"Dekalb County, USA",TRUE,ai,TRUE,FALSE,,
NC_043528.1,TRUE,Orthohepadnavirus,M12,Brazil,Capuchin monkey hepatitis B virus,blood,non-human,2012,FALSE,FALSE,Sapajus xanthosternos,Mammal,,TRUE,ai,TRUE,FALSE,,
KU856573.1,TRUE,Amdoparvovirus,AMDV_mink-f_DK_NJ_37_2014-02-10,Denmark,Aleutian mink disease parvovirus,blood,non-human,10-Feb-2014,FALSE,FALSE,Neovison vison,Mammal,Denmark,TRUE,ai,TRUE,FALSE,,
KU856574.1,TRUE,Amdoparvovirus,AMDV_mink-f_DK_NJ_320_2014-02-24,Denmark,Aleutian mink disease parvovirus,blood,non-human,24-Feb-2014,FALSE,FALSE,Neovison vison,Mammal,Denmark,FALSE,ai,TRUE,FALSE,,
OL689372.1,TRUE,Orthoflavivirus,Bl-352/13981,"Russia: Omsk Region, Krutinsky District, Tenis Lake",Omsk hemorrhagic fever virus,blood,non-human,Dec-2007,FALSE,FALSE,Ondatra zibethicus,Mammal,"Tenis Lake, Russia",TRUE,ai,TRUE,FALSE,,
KX404896.1,TRUE,Amdoparvovirus,AMDV_mink-f_DK_NJ_199_2014-11-10,Denmark,Aleutian mink disease parvovirus,blood,non-human,10-Nov-2014,FALSE,FALSE,Neovison vison,Mammal,"Denmark, Denmark",TRUE,ai,TRUE,FALSE,,
KX404909.1,TRUE,Amdoparvovirus,AMDV_mink-f_DK_NJ_323_2014-02-24,Denmark,Aleutian mink disease parvovirus,blood,non-human,24-Feb-2014,FALSE,FALSE,Neovison vison,Mammal,"Unknown, Denmark",FALSE,ai,TRUE,FALSE,,
KX404900.1,TRUE,Amdoparvovirus,AMDV_mink-f_DK_NJ_175_2014-03-26,Denmark,Aleutian mink disease parvovirus,blood,non-human,26-Mar-2014,FALSE,FALSE,Neovison vison,Mammal,Denmark,FALSE,ai,TRUE,FALSE,,
KX234084.2,TRUE,Orbivirus,BTVX ITL2015 34200,Italy: Sardinia,Bluetongue virus,blood,non-human,30-Oct-2015,FALSE,FALSE,Capra aegagrus hircus,Mammal,"Sardinia, Italy",TRUE,ai,TRUE,TRUE,7,
KU856562.1,TRUE,Amdoparvovirus,AMDV_mink-f_DK_NJ_346_2014-11-21,Denmark,Aleutian mink disease parvovirus,blood,non-human,21-Nov-2014,FALSE,FALSE,Neovison vison,Mammal,,FALSE,ai,TRUE,FALSE,,
KX404889.1,TRUE,Amdoparvovirus,AMDV_mink-f_DK_NJ_185_2014-05-08,Denmark,Aleutian mink disease parvovirus,blood,non-human,08-May-2014,FALSE,FALSE,mink,Mammal,Denmark,FALSE,ai,TRUE,FALSE,,
KX404897.1,TRUE,Amdoparvovirus,AMDV_mink-f_DK_NJ_200_2014-11-10,Denmark,Aleutian mink disease parvovirus,blood,non-human,10-Nov-2014,FALSE,FALSE,Neovison vison,Mammal,,TRUE,ai,TRUE,FALSE,,
KX404910.1,TRUE,Amdoparvovirus,AMDV_mink-f_DK_NJ_324_2014-02-24,Denmark,Aleutian mink disease parvovirus,blood,non-human,24-Feb-2014,FALSE,FALSE,Neovison vison,Mammal,"Unknown, Denmark",FALSE,ai,TRUE,FALSE,,
MW513381.1,TRUE,Orbivirus,GX/V206/2016,China: Guangxi Province,Bluetongue virus,blood,non-human,Sep-2016,FALSE,FALSE,Bubalus bubalis,Mammal,"Guangxi Province, China",TRUE,ai,TRUE,TRUE,6,
KR612368.1,TRUE,Betapolyomavirus,KS/14/281,Germany,Bank vole polyomavirus,blood serum and body fluids,non-human,15-Aug-2013,FALSE,FALSE,Myodes glareolus,Mammal,Germany,FALSE,ai,TRUE,FALSE,,
MN418180.1,TRUE,Lyssavirus,186-18,"USA: Cutler, ME",Lyssavirus rabies,brain,non-human,2017-12-06,FALSE,FALSE,Mephitis mephitis,Mammal,"Cutler, USA",TRUE,ai,TRUE,FALSE,,
PP386030.1,TRUE,Lyssavirus,A22-2313,"USA: Coconino County, AZ",Lyssavirus rabies,brain,non-human,20-Jul-2022,FALSE,FALSE,Eptesicus fuscus,Mammal,"Coconino County, USA",TRUE,ai,TRUE,FALSE,,
MN607596.1,TRUE,Vesiculovirus,D170022,China,Yinshui bat virus,brain,non-human,Mar-2017,FALSE,FALSE,Rhinolophus sinicus,Mammal,"China, China",TRUE,ai,TRUE,FALSE,,
MN824444.1,TRUE,Orthoreovirus,RBWO/USA/GA/1034/02,USA: Georgia,Chatham orthoreovirus,brain,non-human,2002,FALSE,FALSE,Melanerpes carolinus,Avian,"Georgia, USA",FALSE,ai,TRUE,TRUE,M1,
OL689366.1,TRUE,Orthoflavivirus,Br-356-1/13959,"Russia: Omsk Region, Krutinsky District, Tenis Lake",Omsk hemorrhagic fever virus,brain,non-human,Dec-2007,FALSE,FALSE,Ondatra zibethicus,Mammal,"Omsk Region, Russia",TRUE,ai,TRUE,FALSE,,
MN607592.1,TRUE,Ledantevirus,958,China,Taiyi bat virus,brain,non-human,May-2007,FALSE,FALSE,Rhinolophus sinicus,Mammal," , China",TRUE,ai,TRUE,FALSE,,
MN418179.1,TRUE,Lyssavirus,761-18,"USA: Woodstock, VT",Lyssavirus rabies,brain,non-human,2017-08-19,FALSE,FALSE,Procyon lotor,Mammal,"Woodstock, USA",TRUE,ai,TRUE,FALSE,,
OR902161.1,TRUE,Tremovirus,YEBIO-HeN14193,China,tremovirus A1,brain,non-human,Nov-2020,FALSE,FALSE,Gallus gallus,Avian,China,FALSE,ai,TRUE,FALSE,,
MN418162.1,TRUE,Lyssavirus,9049-17,"USA: Hudson, NY",Lyssavirus rabies,brain,non-human,2017-12-16,FALSE,FALSE,Procyon lotor,Mammal,"Hudson, USA",TRUE,ai,TRUE,FALSE,,
JN183886.1,TRUE,Orthoflavivirus,WNV-1/US/BID-V4629/2008,USA: New York,West Nile virus,brain,non-human,2008,FALSE,FALSE,Cyanocitta cristata,Avian,"New York, USA",TRUE,ai,TRUE,FALSE,,
PP386029.1,TRUE,Lyssavirus,A22-2094,"USA: Coconino County, AZ",Lyssavirus rabies,brain,non-human,14-Jul-2022,FALSE,FALSE,Mephitis mephitis,Mammal,"null, USA",TRUE,ai,TRUE,FALSE,,
MN418175.1,TRUE,Lyssavirus,752-18,"USA: Vergennes, VT",Lyssavirus rabies,brain,non-human,2017-04-21,FALSE,FALSE,Procyon lotor,Mammal,"Vergennes, USA",TRUE,ai,TRUE,FALSE,,
OL689377.1,TRUE,Orthoflavivirus,Br-356-2/13964,"Russia: Omsk Region, Krutinsky District, Tenis Lake",Omsk hemorrhagic fever virus,brain,non-human,Dec-2007,FALSE,FALSE,Ondatra zibethicus,Mammal,"Omsk Region, Krutinsky District, Tenis Lake, Russia",TRUE,ai,TRUE,FALSE,,
