tsne_1,tsne_2,true_label,predicted_label,probability,uncertainty,family,sequence_id
35.191643,0.363238,0,0,0.05892512,0.117850244,astroviridae,KY807085.1
35.30626,0.09291036,0,0,0.056786016,0.113572,astroviridae,MG934571.1
35.442806,-0.096518375,0,0,0.053191554,0.106383085,astroviridae,MH052598.1
35.25767,-0.09972601,0,0,0.05794856,0.11589712,astroviridae,MH807626.1
35.444157,0.17913081,0,0,0.05245105,0.10490209,astroviridae,MK125058.1
35.493385,0.21626543,0,0,0.05171319,0.1034264,astroviridae,MN068023.1
35.515232,0.07760597,0,0,0.051054478,0.102108955,astroviridae,MN068024.1
35.37955,0.1113767,0,0,0.05314739,0.10629475,astroviridae,MN103532.1
35.228664,0.10604619,0,0,0.056592364,0.11318475,astroviridae,MN109954.1
35.38764,0.06209326,0,0,0.055324044,0.110648096,astroviridae,MN109955.1
35.28102,-0.10145263,0,0,0.05920389,0.118407786,astroviridae,MN109956.1
35.494396,-0.06496201,0,0,0.056892205,0.11378443,astroviridae,MN109957.1
35.304073,-0.11820324,0,0,0.062133595,0.12426722,astroviridae,MN127951.1
35.204575,-0.043195017,0,0,0.060668904,0.12133783,astroviridae,MN127953.1
35.316803,-0.032256823,0,0,0.05378651,0.10757303,astroviridae,MN127954.1
35.325275,-0.05162759,0,0,0.055913437,0.1118269,astroviridae,MN127956.1
35.38006,0.05021325,0,0,0.052655168,0.10531032,astroviridae,MN127958.1
35.013226,0.38661778,0,0,0.05410099,0.10820198,astroviridae,MN127959.1
35.270096,0.022375979,0,0,0.05616426,0.11232853,astroviridae,MN175321.1
35.259758,-0.027352834,0,0,0.06042022,0.12084043,astroviridae,MN307114.1
35.606266,0.02627549,0,0,0.053576205,0.1071524,astroviridae,MN307115.1
35.336006,-0.07200489,0,0,0.05744288,0.11488575,astroviridae,MN307116.1
35.436485,0.029993422,0,0,0.05204782,0.10409564,astroviridae,MN307117.1
35.220833,0.033216543,0,0,0.062073264,0.12414652,astroviridae,MN307118.1
35.336937,-0.030139748,0,0,0.05528461,0.11056924,astroviridae,MN307119.1
35.45654,0.065067306,0,0,0.05191496,0.10382992,astroviridae,MN307120.1
34.9993,0.16061966,0,0,0.05563545,0.111270905,astroviridae,MN337323.1
35.37873,0.02306829,0,0,0.05172299,0.10344601,astroviridae,MN399857.1
35.32964,0.0014725433,0,0,0.056294236,0.112588465,astroviridae,MN428641.1
35.2317,-0.18166469,0,0,0.062454443,0.124908864,astroviridae,MN428642.1
35.251022,0.08731406,0,0,0.058322713,0.116645455,astroviridae,MN428643.1
35.276035,-0.05665715,0,0,0.05862052,0.117241025,astroviridae,MN428644.1
35.45928,0.069211334,0,0,0.051744215,0.103488445,astroviridae,MN428645.1
35.395576,-0.29706153,0,0,0.057913303,0.11582661,astroviridae,MN809622.1
35.408646,0.22583652,0,0,0.052053984,0.104107976,astroviridae,MN894548.1
35.20362,-0.06860113,0,0,0.058157917,0.11631584,astroviridae,MT708902.1
35.221188,-0.16847393,0,0,0.06502335,0.13004673,astroviridae,MT934437.1
35.260403,-0.13512927,0,0,0.06258487,0.12516975,astroviridae,MT934438.1
35.309006,0.020577487,0,0,0.057028454,0.114056885,astroviridae,MT934439.1
35.2611,-0.20066282,0,0,0.060646422,0.12129283,astroviridae,MW345727.1
35.271755,0.07422197,0,0,0.05414325,0.1082865,astroviridae,MW413813.1
35.302433,0.12808903,0,0,0.05336379,0.1067276,astroviridae,MW536497.1
35.31114,0.06008606,0,0,0.05478543,0.10957086,astroviridae,MW592377.1
35.2287,0.13823023,0,0,0.053895988,0.10779196,astroviridae,MW592378.1
35.262806,-0.077308334,0,0,0.057022665,0.11404532,astroviridae,MW592379.1
35.270596,0.1996802,0,0,0.051900446,0.10380089,astroviridae,MZ367612.1
35.319466,0.024880892,0,0,0.055268772,0.11053753,astroviridae,MZ540211.1
35.422985,0.036564868,0,0,0.05194203,0.10388404,astroviridae,MZ576222.1
35.366425,0.1682715,0,0,0.05242106,0.10484213,astroviridae,MZ648231.1
35.347813,0.10333076,0,0,0.05108151,0.10216302,astroviridae,MZ819183.1
35.19511,-0.026313052,0,0,0.061900247,0.123800516,astroviridae,MZ819184.1
35.25164,0.059189223,0,0,0.05818567,0.11637133,astroviridae,OK148600.1
35.199078,-0.04198067,0,0,0.06215999,0.12431997,astroviridae,OK571389.1
35.353424,0.09492011,0,0,0.05095825,0.10191649,astroviridae,OK571390.1
35.332905,0.24023074,0,0,0.051163487,0.10232699,astroviridae,OL536330.1
35.3481,-0.11312266,0,0,0.05652906,0.11305809,astroviridae,OL762473.1
35.26594,-0.04247123,0,0,0.052534416,0.1050688,astroviridae,OL853843.1
35.219353,-0.067930214,0,0,0.05704875,0.114097476,astroviridae,OL963555.1
35.24127,0.12788658,0,0,0.057487015,0.11497402,astroviridae,OL963556.1
35.28788,0.11490194,0,0,0.052740123,0.10548025,astroviridae,OL963557.1
35.326138,0.1379726,0,0,0.051772848,0.103545666,astroviridae,OL963558.1
35.21763,-0.026691657,0,0,0.060703136,0.12140626,astroviridae,OL982613.1
35.35545,0.32201758,0,0,0.052257817,0.10451561,astroviridae,OL982614.1
35.198082,0.20691133,0,0,0.05652799,0.113056004,astroviridae,OL982615.1
35.302174,-0.080992594,0,0,0.053843997,0.10768801,astroviridae,OM066892.1
35.44466,0.29826665,0,0,0.04943999,0.09887999,astroviridae,OM066893.1
35.352978,0.023842659,0,0,0.052799277,0.10559857,astroviridae,OM066894.1
35.37673,0.13329172,0,0,0.053076006,0.106152,astroviridae,OM066895.1
35.266434,0.113446616,0,0,0.057230286,0.11446059,astroviridae,OM100590.1
35.11723,-0.1945915,0,0,0.06557636,0.13115275,astroviridae,OM100591.1
35.265522,-0.102985315,0,0,0.06049076,0.120981514,astroviridae,OM100592.1
35.30736,0.56358,0,0,0.050120886,0.10024178,astroviridae,OM100593.1
35.117943,-0.18903358,0,0,0.06542465,0.1308493,astroviridae,OM100594.1
35.135868,-0.018783819,0,0,0.061397575,0.122795165,astroviridae,OM100595.1
35.269836,0.2338017,0,0,0.055001646,0.11000329,astroviridae,OM100596.1
35.429848,0.28394455,0,0,0.051857445,0.10371488,astroviridae,OM100597.1
35.570217,-0.011527651,0,0,0.051850002,0.10369998,astroviridae,OM100598.1
35.208473,-0.0039938823,0,0,0.059690084,0.119380176,astroviridae,OM100599.1
35.065224,0.12475034,0,0,0.064376436,0.12875289,astroviridae,OM100600.1
35.179817,-0.045348268,0,0,0.06229556,0.12459111,astroviridae,OM100601.1
35.362988,-0.11382044,0,0,0.054545697,0.1090914,astroviridae,OM100602.1
35.377533,-0.035750855,0,0,0.05418485,0.10836971,astroviridae,OM100603.1
35.228413,-0.008562921,0,0,0.057920814,0.11584163,astroviridae,OM455388.1
35.164433,-0.017545333,0,0,0.059830952,0.11966193,astroviridae,OM455389.1
35.309673,0.04912934,0,0,0.054920606,0.10984123,astroviridae,OM811458.1
35.50643,0.11610049,0,0,0.05156339,0.103126764,astroviridae,OM937013.1
35.27365,0.022970214,0,0,0.056466095,0.112932205,astroviridae,ON376722.1
35.231777,-0.06479104,0,0,0.059932232,0.119864464,astroviridae,ON382519.1
35.278835,-0.025391994,0,0,0.05799476,0.115989506,astroviridae,ON382520.1
35.18609,-0.037547767,0,0,0.060248353,0.12049669,astroviridae,ON382522.1
35.03885,-0.22435366,0,0,0.06088401,0.121768,astroviridae,ON400505.1
35.374767,0.096225135,0,0,0.051933322,0.10386664,astroviridae,ON745304.1
35.2656,0.05647498,0,0,0.05569886,0.11139774,astroviridae,ON954324.1
35.666103,0.33717513,0,0,0.045432296,0.0908646,astroviridae,OP020131.1
35.25655,-0.0013123316,0,0,0.059230525,0.11846107,astroviridae,OP484923.1
35.285698,0.046616297,0,0,0.05835632,0.11671263,astroviridae,OP484924.1
35.379185,-0.16378233,0,0,0.055622756,0.11124551,astroviridae,OP621330.1
35.51854,0.13689834,0,0,0.050345127,0.100690246,astroviridae,OP621331.1
35.337273,-0.10674557,0,0,0.057727277,0.115454555,astroviridae,OP621332.1
35.254955,0.051046427,0,0,0.05554798,0.111095965,astroviridae,OP621333.1
35.403873,-0.01893903,0,0,0.054514226,0.10902846,astroviridae,OP621334.1
35.367302,0.1758721,0,0,0.049274735,0.098549485,astroviridae,OP621335.1
35.255344,-0.05028226,0,0,0.059337314,0.118674636,astroviridae,OP621336.1
35.199635,0.16002648,0,0,0.057912983,0.11582595,astroviridae,OP621337.1
35.44703,0.07496737,0,0,0.050269507,0.10053903,astroviridae,OP621338.1
35.383102,0.07802821,0,0,0.051801793,0.1036036,astroviridae,OP621339.1
35.350548,0.08581002,0,0,0.051865637,0.103731275,astroviridae,OP621340.1
35.346256,-0.04799143,0,0,0.056890424,0.113780856,astroviridae,OP621341.1
35.322433,-0.08947657,0,0,0.059008412,0.11801684,astroviridae,OP764611.1
34.991882,-0.017170161,0,0,0.062073298,0.12414658,astroviridae,OP776629.1
35.19175,-0.14509639,0,0,0.06510814,0.1302163,astroviridae,OP946449.1
35.287903,0.007973403,0,0,0.052260745,0.10452151,astroviridae,OQ805852.1
35.258816,0.014483002,0,0,0.05904904,0.11809808,astroviridae,OQ805853.1
35.452297,0.22461538,0,0,0.05113566,0.10227132,astroviridae,OR902761.1
35.172882,-0.2130538,0,0,0.0630849,0.1261698,astroviridae,OR902762.1
35.42006,-0.050748736,0,0,0.054676738,0.10935348,astroviridae,OR902763.1
35.40274,0.0649722,0,0,0.05385691,0.10771382,astroviridae,OR902764.1
35.40093,-0.27434787,0,0,0.05358317,0.10716635,astroviridae,OR902765.1
35.1866,-0.0035630728,0,0,0.06110295,0.12220591,astroviridae,OR906207.1
35.42892,-0.022386821,0,0,0.051019534,0.1020391,astroviridae,OR906208.1
35.4092,-0.18462119,0,0,0.054504838,0.10900968,astroviridae,OR958817.1
35.008316,-0.009925315,0,0,0.060565438,0.12113088,astroviridae,OR965521.1
35.259136,-0.36824888,0,0,0.06436788,0.12873578,astroviridae,PP382210.1
34.85189,0.023801582,0,0,0.06412089,0.12824178,astroviridae,PP444709.1
35.42216,-0.012736007,0,0,0.054932684,0.10986537,astroviridae,PP444710.1
35.23802,-0.60194963,0,0,0.06460942,0.12921882,astroviridae,PP966939.1
35.453156,-0.1567394,0,0,0.055518363,0.11103672,astroviridae,PQ037214.1
34.688717,-0.21742977,0,0,0.07203857,0.14407712,astroviridae,PQ308726.1
24.225248,-10.894793,0,0,0.08135557,0.16271114,astroviridae,KP404149.1
37.915363,-8.470329,0,0,0.044849776,0.08969957,astroviridae,KP404150.1
25.136372,-11.0778265,0,0,0.068879925,0.13775986,astroviridae,KX599350.1
22.559168,2.3860526,0,0,0.065882936,0.13176584,astroviridae,KX599351.1
1.9870538,1.1576338,0,0,0.18753703,0.37507403,astroviridae,KX599352.1
36.945316,1.6808963,0,0,0.04300277,0.08600557,astroviridae,KX599353.1
38.02265,-8.921704,0,0,0.049837872,0.099675775,astroviridae,KY765684.1
21.438944,2.0494182,0,0,0.088257566,0.1765151,astroviridae,MF973500.1
23.267052,2.8460612,0,0,0.058559194,0.11711836,astroviridae,MF973501.1
17.419409,-8.904903,0,0,0.104190044,0.2083801,astroviridae,MK026166.1
23.438437,2.8789515,0,0,0.057728756,0.115457535,astroviridae,MN881999.1
23.438412,2.8789492,0,0,0.057728756,0.115457535,astroviridae,MN882000.1
21.23104,2.020062,0,0,0.08944431,0.17888862,astroviridae,MN882001.1
23.503891,2.8678544,0,0,0.06264172,0.12528342,astroviridae,MN882002.1
22.788103,2.5483122,0,0,0.06967827,0.13935655,astroviridae,MN882003.1
24.43518,-10.958906,0,0,0.08525771,0.17051542,astroviridae,MN882004.1
37.352974,-9.395045,0,0,0.063689165,0.12737834,astroviridae,MN882006.1
37.562107,-9.3294115,0,0,0.052158132,0.104316235,astroviridae,MN882007.1
37.704163,2.3162487,0,0,0.032698248,0.06539649,astroviridae,MN882008.1
37.27768,-9.195799,0,0,0.054326195,0.10865241,astroviridae,MN882009.1
37.73319,-8.575824,0,0,0.045780648,0.09156132,astroviridae,MN882010.1
37.995686,-10.502129,0,0,0.04895215,0.097904325,astroviridae,MT078247.1
37.10504,-8.439302,0,0,0.05525502,0.11051005,astroviridae,MT078248.1
37.894394,-8.605873,0,0,0.042171277,0.08434254,astroviridae,MT894143.1
24.225248,-10.894793,0,0,0.08135557,0.16271114,astroviridae,NC_026814.1
41.64605,-7.607384,0,0,0.041833732,0.08366746,astroviridae,ON733251.1
37.04792,-8.979907,0,0,0.06234277,0.124685526,astroviridae,OP093958.1
19.824335,-7.899785,0,0,0.07912002,0.15824002,astroviridae,OR220022.1
37.42639,-8.991979,0,0,0.0511906,0.10238123,astroviridae,OR220023.1
24.832403,-10.973543,0,0,0.069842555,0.1396851,astroviridae,OR220024.1
37.58047,-8.84035,0,0,0.04661195,0.09322393,astroviridae,OR220025.1
37.97997,-8.851484,0,0,0.044281475,0.088562965,astroviridae,OR220026.1
37.97997,-8.851484,0,0,0.044281475,0.088562965,astroviridae,OR220027.1
26.01146,-8.423737,0,0,0.06370564,0.12741125,astroviridae,OR220028.1
22.738852,2.621769,0,0,0.05683777,0.113675535,astroviridae,OR220029.1
37.342003,-8.981238,0,0,0.055152077,0.11030418,astroviridae,OR220030.1
24.550058,-7.825248,0,0,0.0727391,0.14547819,astroviridae,JQ340310.1
26.651012,-6.4472747,0,0,0.069078885,0.13815778,astroviridae,KU764484.1
26.651016,-6.4472723,0,0,0.069078885,0.13815778,astroviridae,KU764485.1
26.798536,-6.970661,0,0,0.06569507,0.13139015,astroviridae,KU764486.1
24.792812,-7.8091106,0,0,0.072741844,0.14548367,astroviridae,KX033447.1
31.634287,-7.8971663,0,0,0.052572764,0.105145514,astroviridae,KX060808.1
4.37957,1.706465,0,0,0.16387922,0.32775843,astroviridae,KX060809.1
27.312395,0.60829663,0,0,0.060163617,0.120327234,astroviridae,MH425243.1
31.681744,-8.1550865,0,0,0.05701825,0.1140365,astroviridae,MK460231.1
24.660288,-7.4459476,0,0,0.068456456,0.13691294,astroviridae,MK613068.1
27.181458,-6.405699,0,0,0.06564711,0.13129425,astroviridae,MT451917.1
31.769554,-6.802091,0,0,0.04933558,0.09867114,astroviridae,MT451918.1
4.968742,0.29825404,0,0,0.14619058,0.29238117,astroviridae,MT470220.1
36.223564,-7.058286,0,0,0.04672568,0.09345138,astroviridae,MT642666.1
32.477974,-6.672759,0,0,0.065050706,0.13010144,astroviridae,MW784070.1
31.738985,-8.891394,0,0,0.058805373,0.11761075,astroviridae,MW784071.1
27.049387,-7.053008,0,0,0.06767441,0.1353488,astroviridae,MW784073.1
32.058586,-5.9020715,0,0,0.048774503,0.09754902,astroviridae,MW784074.1
2.2230048,-2.7766323,0,0,0.20911343,0.41822684,astroviridae,MW784090.1
37.112194,-8.925949,0,0,0.058831315,0.11766261,astroviridae,MW784093.1
20.40794,-8.388157,0,0,0.09694082,0.19388163,astroviridae,MW784095.1
26.300629,-6.1239176,0,0,0.07860635,0.15721273,astroviridae,MW784096.1
36.6655,4.5129833,0,0,0.050854348,0.10170871,astroviridae,MW784101.1
24.384384,-6.7736697,0,0,0.07598012,0.15196025,astroviridae,MW962975.1
24.550058,-7.825248,0,0,0.0727391,0.14547819,astroviridae,NC_016896.1
22.445189,-7.0112267,0,0,0.08354374,0.1670875,astroviridae,OL695848.1
36.52923,2.039963,0,0,0.04390732,0.08781463,astroviridae,OL695849.1
4.4591928,-1.0787747,0,0,0.140753,0.281506,astroviridae,OL695850.1
