accession,organism,length,collection_date,country,strain,lineage,isolate,host,isolation_source,submission_date,batch
MN996531.1,Severe acute respiratory syndrome coronavirus 2,29857,2020/01/29,NA,NA,NA,WIV07,Homo sapiens,bronchoalveolar lavage fluid,18-MAR-2020,1
MN996530.1,Severe acute respiratory syndrome coronavirus 2,29854,2020/01/29,NA,NA,NA,WIV06,Homo sapiens,bronchoalveolar lavage fluid,18-MAR-2020,1
MN996529.1,Severe acute respiratory syndrome coronavirus 2,29852,2020/01/29,NA,NA,NA,WIV05,Homo sapiens,bronchoalveolar lavage fluid,18-MAR-2020,1
MN996528.1,Severe acute respiratory syndrome coronavirus 2,29891,2020/01/29,NA,NA,NA,WIV04,Homo sapiens,bronchoalveolar lavage fluid,18-MAR-2020,1
MN996527.1,Severe acute respiratory syndrome coronavirus 2,29825,2020/01/29,NA,NA,NA,WIV02,Homo sapiens,bronchoalveolar lavage fluid,18-MAR-2020,1
MT007544.1,Severe acute respiratory syndrome coronavirus 2,29893,2020/01/31,NA,NA,NA,SARS-CoV-2/human/AUS/VIC01/2020,Homo sapiens,nasopharyngeal swab,25-JUN-2020,1
NC_045512.2,Severe acute respiratory syndrome coronavirus 2,29903,2020/01/13,NA,NA,NA,Wuhan-Hu-1,Homo sapiens,NA,18-JUL-2020,1
MN908947.3,Severe acute respiratory syndrome coronavirus 2,29903,2020/01/12,NA,NA,NA,Wuhan-Hu-1,Homo sapiens,NA,18-MAR-2020,1
MN985325.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/01/24,NA,NA,5' end is primer sequence used,SARS-CoV-2/human/USA/WA-CDC-02982586-001/2020,Homo sapiens,oropharyngeal swab,08-NOV-2021,1
MN975262.1,Severe acute respiratory syndrome coronavirus 2,29891,2020/01/24,NA,NA,NA,2019-nCoV_HKU-SZ-005b_2020,Homo sapiens,sputum,11-FEB-2020,1
MN938384.1,Severe acute respiratory syndrome coronavirus 2,29838,2020/01/24,NA,NA,NA,2019-nCoV_HKU-SZ-002a_2020,Homo sapiens,nasopharyngeal swab,11-FEB-2020,1
MN997409.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/01/28,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/AZ-CDC-02993465-001/2020,Homo sapiens,buccal swab,08-NOV-2021,1
MN994468.1,Severe acute respiratory syndrome coronavirus 2,29883,2020/01/28,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/CA-CDC-02993506-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MN994467.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/01/28,NA,NA,5' sequence is the primer sequence used,SARS-CoV-2/human/USA/CA-CDC-02993471-001/2020,Homo sapiens,nasopharyngeal swab,08-NOV-2021,1
MN988669.1,Severe acute respiratory syndrome coronavirus 2,29881,2020/01/28,NA,NA,"genome sequence collected on Jan 7, 2020",2019-nCoV WHU02,Homo sapiens,BALF sample of 2019 Wuhan peumonia patient 02,11-FEB-2020,1
MN988668.1,Severe acute respiratory syndrome coronavirus 2,29881,2020/01/28,NA,NA,"genome sequence collected on Jan 7, 2020",2019-nCoV WHU01,Homo sapiens,BALF sample of 2019 Wuhan peumonia patient 01,11-FEB-2020,1
MT123293.2,Severe acute respiratory syndrome coronavirus 2,29871,2020/02/28,NA,NA,passage details: Vero E6,SARS-CoV-2/human/CHN/IQTC03/2020,Homo sapiens,stool,06-APR-2020,1
MT123292.2,Severe acute respiratory syndrome coronavirus 2,29923,2020/02/28,NA,NA,Guangzhou; passage details: Vero E6,SARS-CoV-2/human/CHN/IQTC04/2020,Homo sapiens,sputum,06-APR-2020,1
MT123291.2,Severe acute respiratory syndrome coronavirus 2,29882,2020/02/28,NA,NA,passage details: Vero,SARS-CoV-2/human/CHN/IQTC02/2020,Homo sapiens,bronchoalveolar lavage fluid,06-APR-2020,1
MT123290.1,Severe acute respiratory syndrome coronavirus 2,29891,2020/02/28,NA,NA,passage details: Vero E6,SARS-CoV-2/human/CHN/IQTC01/2020,Homo sapiens,oropharyngeal swab,06-APR-2020,1
LC528233.2,Severe acute respiratory syndrome coronavirus 2,29868,2020/02/29,NA,SARS-CoV-2/Hu/DP/Kng/19-027,NA,NA,Homo sapiens,throat swab,29-JAN-2021,1
LC528232.2,Severe acute respiratory syndrome coronavirus 2,29866,2020/02/29,NA,SARS-CoV-2/Hu/DP/Kng/19-020,NA,NA,Homo sapiens,throat swab,29-JAN-2021,1
MT093631.2,Severe acute respiratory syndrome coronavirus 2,29860,2020/02/21,NA,NA,passage details: VERO-E6,SARS-CoV-2/human/CHN/WH-09/2020,Homo sapiens,throat swab,06-APR-2020,1
MT093571.1,Severe acute respiratory syndrome coronavirus 2,29886,2020/02/21,NA,NA,NA,SARS-CoV-2/human/SWE/01/2020,Homo sapiens,NA,06-APR-2020,1
LR757998.1,Severe acute respiratory syndrome coronavirus 2,29866,2020/02/01,NA,NA,NA,NA,Homo sapiens,NA,25-SEP-2020,1
LR757996.1,Severe acute respiratory syndrome coronavirus 2,29868,2020/02/01,NA,NA,NA,NA,Homo sapiens,NA,25-SEP-2020,1
LR757995.1,Severe acute respiratory syndrome coronavirus 2,29872,2020/02/01,NA,NA,NA,NA,Homo sapiens,NA,25-SEP-2020,1
MT066176.1,Severe acute respiratory syndrome coronavirus 2,29870,2020/02/14,NA,NA,NA,SARS-CoV-2/NTU02/TWN/human/2020,Homo sapiens,NA,06-APR-2020,1
MT066175.1,Severe acute respiratory syndrome coronavirus 2,29870,2020/02/14,NA,NA,NA,SARS-CoV-2/NTU01/TWN/human/2020,Homo sapiens,NA,06-APR-2020,1
MT072688.1,Severe acute respiratory syndrome coronavirus 2,29811,2020/02/18,NA,NA,NA,SARS-CoV-2/human/NPL/61-TW/2020,Homo sapiens,oropharyngeal swab,06-APR-2020,1
MT044258.1,Severe acute respiratory syndrome coronavirus 2,29858,2020/02/12,NA,NA,5' sequence is primer used for sequencing,SARS-CoV-2/human/USA/CA-CDC-03037551-001/2020,Homo sapiens,respiratory swab,08-NOV-2021,1
MT044257.1,Severe acute respiratory syndrome coronavirus 2,29882,2020/02/12,NA,NA,5' sequence is primer used,SARS-CoV-2/human/USA/IL-CDC-03037667-001/2020,Homo sapiens,sputum,08-NOV-2021,1
