gene_name,location,avg_importance,median_importance,std_importance,max_importance,min_importance,pos_fraction,classification,confidence,locus_tag
ORF1ab,266..21555,-0.0001,0.0003,0.0156,0.0501,-0.0629,0.5090,Non-human,0.0001,GU280_gp01
S,21563..25384,-0.0019,-0.0014,0.0161,0.0476,-0.0599,0.4617,Non-human,0.0019,GU280_gp02
ORF3a,25393..26220,-0.0019,-0.0009,0.0175,0.0536,-0.0599,0.4680,Non-human,0.0019,GU280_gp03
E,26245..26472,-0.0006,0.0009,0.0142,0.0361,-0.0436,0.5154,Non-human,0.0006,GU280_gp04
M,26523..27191,-0.0019,-0.0012,0.0169,0.0620,-0.0565,0.4596,Non-human,0.0019,GU280_gp05
ORF6,27202..27387,0.0020,0.0040,0.0168,0.0411,-0.0471,0.5838,Human,0.0020,GU280_gp06
ORF7a,27394..27759,-0.0048,-0.0023,0.0166,0.0437,-0.0629,0.4192,Non-human,0.0048,GU280_gp07
ORF7b,27756..27887,-0.0044,-0.0048,0.0187,0.0405,-0.0490,0.3969,Non-human,0.0044,GU280_gp08
ORF8,27894..28259,0.0019,0.0010,0.0159,0.0488,-0.0604,0.5151,Human,0.0019,GU280_gp09
N,28274..29533,-0.0002,-0.0005,0.0136,0.0418,-0.0516,0.4782,Non-human,0.0002,GU280_gp10
ORF10,29558..29674,0.0023,0.0037,0.0132,0.0312,-0.0352,0.5948,Human,0.0023,GU280_gp11
