tsne_1,tsne_2,true_label,predicted_label,probability,uncertainty,family,sequence_id
9.530819,-11.501949,0,0,0.05892512,0.117850244,astroviridae,KY807085.1
9.529374,-11.471618,0,0,0.056786016,0.113572,astroviridae,MG934571.1
9.525521,-11.484392,0,0,0.053191554,0.106383085,astroviridae,MH052598.1
9.525598,-11.478483,0,0,0.05794856,0.11589712,astroviridae,MH807626.1
9.524958,-11.482444,0,0,0.05245105,0.10490209,astroviridae,MK125058.1
9.530374,-11.498461,0,0,0.05171319,0.1034264,astroviridae,MN068023.1
9.5156765,-11.474996,0,0,0.051054478,0.102108955,astroviridae,MN068024.1
9.5163555,-11.480532,0,0,0.05314739,0.10629475,astroviridae,MN103532.1
9.531093,-11.48643,0,0,0.056592364,0.11318475,astroviridae,MN109954.1
9.521152,-11.468699,0,0,0.055324044,0.110648096,astroviridae,MN109955.1
9.517785,-11.466557,0,0,0.05920389,0.118407786,astroviridae,MN109956.1
9.517084,-11.468287,0,0,0.056892205,0.11378443,astroviridae,MN109957.1
9.513519,-11.474395,0,0,0.062133595,0.12426722,astroviridae,MN127951.1
9.526809,-11.4745655,0,0,0.060668904,0.12133783,astroviridae,MN127953.1
9.526754,-11.466567,0,0,0.05378651,0.10757303,astroviridae,MN127954.1
9.528073,-11.47834,0,0,0.055913437,0.1118269,astroviridae,MN127956.1
9.524464,-11.475543,0,0,0.052655168,0.10531032,astroviridae,MN127958.1
9.525733,-11.484328,0,0,0.05410099,0.10820198,astroviridae,MN127959.1
9.529789,-11.48602,0,0,0.05616426,0.11232853,astroviridae,MN175321.1
9.520661,-11.474535,0,0,0.06042022,0.12084043,astroviridae,MN307114.1
9.520887,-11.486735,0,0,0.053576205,0.1071524,astroviridae,MN307115.1
9.533768,-11.485278,0,0,0.05744288,0.11488575,astroviridae,MN307116.1
9.531894,-11.48298,0,0,0.05204782,0.10409564,astroviridae,MN307117.1
9.521773,-11.477809,0,0,0.062073264,0.12414652,astroviridae,MN307118.1
9.530768,-11.481479,0,0,0.05528461,0.11056924,astroviridae,MN307119.1
9.526148,-11.474148,0,0,0.05191496,0.10382992,astroviridae,MN307120.1
