sequence_id,family,host,cluster,umap_x,umap_y
AB308374.1,astroviridae,non-human,0,-1.1644778,6.839626
AB823731.1,astroviridae,human,1,11.921049,12.557345
AB823732.1,astroviridae,human,1,11.946267,12.57601
AB829252.1,astroviridae,human,2,3.1947353,7.9444356
AF260508.1,astroviridae,human,0,-0.9859611,7.0364356
AY179509.1,astroviridae,non-human,2,3.0329957,5.459658
AY720891.1,astroviridae,human,0,-0.988303,7.040281
AY720892.1,astroviridae,human,0,-1.2247726,6.8000216
DQ028633.1,astroviridae,human,0,-1.0633891,6.970541
DQ070852.1,astroviridae,human,0,-0.9878624,7.0386972
DQ344027.1,astroviridae,human,0,-0.98562753,7.025959
EU143843.1,astroviridae,non-human,3,8.228391,-1.1089525
EU143844.1,astroviridae,non-human,3,8.227766,-1.1095514
EU143845.1,astroviridae,non-human,3,8.227396,-1.1099166
EU143846.1,astroviridae,non-human,3,8.226772,-1.1099968
EU143847.1,astroviridae,non-human,3,8.22863,-1.1098073
EU143848.1,astroviridae,non-human,3,8.229826,-1.1085464
EU143849.1,astroviridae,non-human,3,8.228631,-1.1095741
EU143850.1,astroviridae,non-human,3,8.228733,-1.10936
EU143851.1,astroviridae,non-human,3,8.229989,-1.110935
FJ222451.1,astroviridae,non-human,1,11.919069,12.556466
FJ375759.1,astroviridae,human,0,-1.1654228,6.8418727
FJ402983.1,astroviridae,non-human,1,11.920261,12.558062
FJ434664.1,astroviridae,non-human,4,-7.056649,15.898293
FJ755402.1,astroviridae,human,0,-1.1821047,6.828002
FJ755403.1,astroviridae,human,0,-1.223382,6.8011794
FJ755404.1,astroviridae,human,0,-1.2071606,6.811256
FJ755405.1,astroviridae,human,0,-1.2108936,6.7945995
FJ919225.1,astroviridae,non-human,4,-7.0577164,15.897599
FJ919226.1,astroviridae,non-human,4,-7.058182,15.897503
FJ919227.1,astroviridae,non-human,4,-7.0582247,15.89752
FJ919228.1,astroviridae,non-human,4,-7.060284,15.893805
FJ973620.1,astroviridae,human,5,6.134196,5.4556828
GQ415660.1,astroviridae,human,2,1.8169706,6.8220997
GQ495608.1,astroviridae,human,0,-0.87938035,6.8627586
GQ502193.2,astroviridae,human,2,1.8314705,6.7886415
GQ891990.1,astroviridae,human,5,6.13353,5.456916
HM029238.1,astroviridae,non-human,2,2.9888358,4.2334023
HM237363.1,astroviridae,human,0,-0.99835473,6.8512893
HM450380.1,astroviridae,human,1,11.921485,12.558063
HQ398856.2,astroviridae,human,0,-1.2337282,6.7805166
HQ916313.1,astroviridae,non-human,2,0.919288,4.370026
HQ916314.1,astroviridae,non-human,2,3.1198661,5.41746
HQ916316.1,astroviridae,non-human,2,3.1511319,5.415167
HQ916317.1,astroviridae,non-human,2,0.9167522,4.368617
JF327666.1,astroviridae,human,0,-1.159955,6.840398
JF414802.1,astroviridae,non-human,6,-8.352656,11.092996
JF713710.1,astroviridae,non-human,2,3.306082,5.518261
JF713711.1,astroviridae,non-human,2,3.1338413,3.6362114
JF713712.1,astroviridae,non-human,2,3.3139164,5.551972
JF729316.1,astroviridae,non-human,2,3.0979598,5.4564514
JF742759.1,astroviridae,human,2,3.1316156,7.908465
JF755422.1,astroviridae,non-human,2,3.3872206,7.7655377
JN887820.1,astroviridae,human,0,-1.2259951,6.797395
JQ086552.1,astroviridae,human,1,11.920966,12.55736
JQ340310.1,astroviridae,non-human,7,-0.82167363,9.145572
JQ403108.1,astroviridae,human,0,-1.0610096,6.979799
JX544743.1,astroviridae,non-human,2,1.5375468,4.981314
JX544744.1,astroviridae,non-human,2,1.5781606,5.0360746
JX556691.1,astroviridae,non-human,8,6.593344,-3.1482375
JX556693.1,astroviridae,non-human,2,3.123109,3.6308196
JX624774.1,astroviridae,non-human,2,1.8197128,7.052486
JX857868.1,astroviridae,human,2,1.9890349,6.9630632
JX857869.1,astroviridae,human,2,1.8925304,7.078488
JX857870.1,astroviridae,human,2,3.1596646,7.8084188
KC285152.2,astroviridae,human,0,-0.9360266,6.9583826
KF039910.1,astroviridae,human,0,-0.9951385,7.011455
KF039911.1,astroviridae,human,0,-0.95921326,6.9429283
KF039912.1,astroviridae,human,0,-0.99133575,7.0319347
KF039913.1,astroviridae,human,0,-0.9874338,7.0395956
KF211475.1,astroviridae,human,0,-1.2300435,6.796367
KF499111.1,astroviridae,non-human,9,-11.275964,2.3127058
KF753804.1,astroviridae,non-human,2,2.0726414,7.258745
KF753805.1,astroviridae,non-human,2,2.0537634,7.242015
KF753806.1,astroviridae,non-human,2,2.0552444,7.256666
KF753807.1,astroviridae,non-human,2,2.0494485,7.25708
KF787112.3,astroviridae,non-human,2,2.9415767,4.0021467
KF859964.1,astroviridae,human,2,1.7346324,6.7154055
KJ020899.1,astroviridae,non-human,10,2.8464339,14.329028
KJ620979.1,astroviridae,non-human,2,0.93267274,4.377087
KJ620980.1,astroviridae,non-human,2,0.9135161,4.373769
KM017741.1,astroviridae,non-human,2,2.622572,5.8015018
KM017742.1,astroviridae,non-human,9,-11.27514,2.3135
KM017743.1,astroviridae,non-human,9,-11.275571,2.312706
KM035759.1,astroviridae,non-human,11,12.426173,2.7373435
KM401565.1,astroviridae,non-human,5,6.139142,5.4544554
KM822593.1,astroviridae,non-human,2,1.4313741,4.767537
KP404149.1,astroviridae,non-human,12,-2.6422455,-0.9106574
KP404150.1,astroviridae,non-human,12,-2.6415138,-0.9064189
KP663426.1,astroviridae,non-human,13,12.095779,4.353393
KP747573.1,astroviridae,non-human,2,3.2459955,5.525147
KP747574.1,astroviridae,non-human,2,2.9373665,3.981041
KP759770.1,astroviridae,non-human,2,3.2473285,5.6103754
KP862744.1,astroviridae,human,0,-0.9895093,7.025302
KR868721.1,astroviridae,non-human,2,3.290311,5.591457
KR868722.1,astroviridae,non-human,2,3.2895973,5.58339
KR868723.1,astroviridae,non-human,2,3.2779386,5.589651
KR868724.1,astroviridae,non-human,2,3.2652266,5.597403
KT946718.1,astroviridae,non-human,14,4.467625,10.586976
KT946719.1,astroviridae,non-human,14,4.4845586,10.5908
KT946720.1,astroviridae,non-human,14,4.4613185,10.5861025
KT946721.1,astroviridae,non-human,2,2.1349106,7.204387
KT946722.1,astroviridae,non-human,2,3.2438126,5.5473685
KT946723.1,astroviridae,non-human,2,3.2457824,5.549225
KT946724.1,astroviridae,non-human,2,3.2126532,5.573513
KT946725.1,astroviridae,non-human,2,3.2442014,5.5435076
KT946726.1,astroviridae,non-human,2,1.4665334,4.754105
KT946727.1,astroviridae,non-human,2,1.4516861,4.745736
KT946728.1,astroviridae,non-human,2,1.4374428,4.7502885
KT946729.1,astroviridae,non-human,2,1.4356457,4.7603955
KT946730.1,astroviridae,non-human,2,1.4091003,4.71322
KT946731.1,astroviridae,non-human,13,12.204447,4.22874
KT946732.1,astroviridae,non-human,2,1.5907604,6.2929063
KT946733.1,astroviridae,non-human,2,1.6222781,6.208358
KT946734.1,astroviridae,non-human,2,1.5986248,6.2446723
KT946735.1,astroviridae,non-human,15,7.358826,7.654143
KT946736.1,astroviridae,non-human,15,7.3391304,7.656565
KU318317.1,astroviridae,human,16,-6.1769304,10.345858
KU318321.1,astroviridae,human,16,-6.1963663,10.362261
KU764484.1,astroviridae,non-human,7,-0.8242546,9.141007
KU764485.1,astroviridae,non-human,7,-0.8230571,9.142761
KU764486.1,astroviridae,non-human,7,-0.8248282,9.139933
KX033447.1,astroviridae,non-human,7,-0.8220868,9.143403
KX060808.1,astroviridae,non-human,7,-0.8265364,9.140233
KX060809.1,astroviridae,non-human,7,-0.82138765,9.142604
KX266901.1,astroviridae,non-human,11,12.42514,2.739836
KX266902.1,astroviridae,non-human,11,12.422515,2.738385
KX266903.1,astroviridae,non-human,11,12.425584,2.7383175
KX266904.1,astroviridae,non-human,11,12.426909,2.738366
KX266905.1,astroviridae,non-human,11,12.426531,2.7382426
KX266906.1,astroviridae,non-human,11,12.426037,2.7390583
KX266907.1,astroviridae,non-human,11,12.426807,2.7390344
KX266908.1,astroviridae,non-human,11,12.426184,2.739593
KX397575.1,astroviridae,non-human,6,-8.353212,11.095375
KX397576.1,astroviridae,non-human,6,-8.376931,11.0984125
KX599350.1,astroviridae,non-human,12,-2.643312,-0.90856534
KX599351.1,astroviridae,non-human,12,-2.656216,-0.8976441
KX599352.1,astroviridae,non-human,12,-2.6718352,-0.8864979
KX599353.1,astroviridae,non-human,12,-2.6418605,-0.9058034
KY024237.1,astroviridae,non-human,2,1.6840552,6.730365
KY024238.1,astroviridae,non-human,2,1.4040045,4.748169
